Rank,Event ID,Raw Score,Final Score,Event Type,Price ($),Distance (km),Date/Time,description,location,source,type,currencyCode,url
42,810,55.29600000000001,55.29600000000001,sport,90.43,80.08,2024-11-23 17:00:54.181180,,"86.931153, -21.329812",MockSource,Sports,USD,https://placeholder.url
43,917,55.224000000000004,55.224000000000004,science,96.25,49.14,2024-11-22 22:00:54.183144,,"-22.902254, -140.39761",MockSource,Science,USD,https://placeholder.url
44,566,54.89600000000001,54.89600000000001,theater,143.44,7.23,2024-11-23 13:15:54.177139,,"6.162348, 138.86493",MockSource,Theater,USD,https://placeholder.url
45,292,54.768,54.768,sport,81.26,93.97,2024-11-23 18:30:54.172103,,"56.627092, 6.671307",MockSource,Sports,USD,https://placeholder.url
46,651,54.69,54.69,outdoor,25.03,4.95,2024-11-24 17:00:54.178154,,"-36.906004, 123.9883",MockSource,Outdoors,USD,https://placeholder.url
47,718,54.36000000000001,54.36000000000001,sport,239.83,74.8,2024-11-22 12:30:54.180165,,"84.121986, 177.148747",MockSource,Sports,USD,https://placeholder.url
49,679,53.903999999999996,53.903999999999996,science,30.95,84.38,2024-11-23 09:45:54.179186,,"26.870253, -60.928313",MockSource,Science,USD,https://placeholder.url
48,468,53.903999999999996,53.903999999999996,science,77.36,45.79,2024-11-22 18:30:54.175103,,"0.829175, -30.504327",MockSource,Science,USD,https://placeholder.url
50,14,53.56,53.56,sport,57.84,13.85,2024-11-23 12:15:54.168103,,"60.044862, 60.305607",MockSource,Sports,USD,https://placeholder.url
51,813,53.40800000000001,53.40800000000001,science,24.09,30.16,2024-11-23 13:00:54.181180,,"0.25816, -78.975054",MockSource,Science,USD,https://placeholder.url
52,907,53.376000000000005,53.376000000000005,science,95.47,39.33,2024-11-23 22:00:54.183144,,"3.321513, 138.604244",MockSource,Science,USD,https://placeholder.url
53,431,53.29600000000001,53.29600000000001,community,17.0,98.11,2024-11-23 13:30:54.174103,,"-56.136532, -26.954852",MockSource,Community,USD,https://placeholder.url
54,1000,53.24,53.24,gaming,32.73,51.45,2024-11-23 13:45:54.185136,,"14.826215, -99.793607",MockSource,Gaming,USD,https://placeholder.url
55,473,53.048,53.048,gaming,18.64,84.82,2024-11-23 14:30:54.175103,,"20.078293, -80.249723",MockSource,Gaming,USD,https://placeholder.url
56,435,52.98400000000001,52.98400000000001,community,15.16,90.98,2024-11-23 14:45:54.174103,,"-76.868399, 59.795506",MockSource,Community,USD,https://placeholder.url
57,80,52.967999999999996,52.967999999999996,science,81.45,31.46,2024-11-22 16:15:54.169103,,"13.296898, 107.964862",MockSource,Science,USD,https://placeholder.url
58,664,52.967999999999996,52.967999999999996,science,83.47,83.11,2024-11-22 16:15:54.179186,,"19.512586, -138.524919",MockSource,Science,USD,https://placeholder.url
59,768,52.85,52.85,pet,4.43,4.38,2024-11-28 13:00:54.180165,,"42.627017, -112.898324",MockSource,Pets,USD,https://placeholder.url
60,625,52.848000000000006,52.848000000000006,gaming,50.89,72.89,2024-11-23 15:15:54.178154,,"25.633729, 127.565892",MockSource,Gaming,USD,https://placeholder.url
61,294,52.768,52.768,community,5.84,10.56,2024-11-23 15:30:54.172103,,"-75.422328, -52.408687",MockSource,Community,USD,https://placeholder.url
62,311,52.74400000000001,52.74400000000001,sport,197.0,99.05,2024-11-22 08:30:54.172103,,"87.63317, -23.719317",MockSource,Sports,USD,https://placeholder.url
63,936,52.696000000000005,52.696000000000005,gaming,42.17,97.95,2024-11-23 15:45:54.184153,,"43.358039, -94.79626",MockSource,Gaming,USD,https://placeholder.url
64,35,52.648,52.648,science,78.1,96.77,2024-11-22 15:30:54.168103,,"-55.477146, -156.246997",MockSource,Science,USD,https://placeholder.url
66,783,52.624,52.624,sport,43.72,77.98,2024-11-23 16:00:54.181180,,"-88.500168, 134.135622",MockSource,Sports,USD,https://placeholder.url
65,523,52.624,52.624,community,11.94,99.47,2024-11-22 23:15:54.176103,,"-58.8939, 141.664807",MockSource,Community,USD,https://placeholder.url
67,192,52.47200000000001,52.47200000000001,science,39.46,79.23,2024-11-22 22:45:54.170103,,"-23.160677, -68.55853",MockSource,Science,USD,https://placeholder.url
68,588,52.43200000000001,52.43200000000001,sport,99.14,61.62,2024-11-22 15:00:54.177139,,"-38.254417, -103.930093",MockSource,Sports,USD,https://placeholder.url
69,410,52.38400000000001,52.38400000000001,sport,65.72,32.34,2024-11-23 16:45:54.174103,,"21.24075, 89.196775",MockSource,Sports,USD,https://placeholder.url
70,198,52.224000000000004,52.224000000000004,gaming,57.49,56.1,2024-11-22 22:00:54.170103,,"33.618893, -92.649229",MockSource,Gaming,USD,https://placeholder.url
71,19,52.216,52.216,gaming,43.36,65.47,2024-11-23 17:15:54.168103,,"40.951894, 32.008822",MockSource,Gaming,USD,https://placeholder.url
72,191,51.96000000000001,51.96000000000001,gaming,37.97,65.66,2024-11-22 21:15:54.170103,,"-5.423125, -172.61801",MockSource,Gaming,USD,https://placeholder.url
73,960,51.768,51.768,gaming,56.24,25.54,2024-11-23 18:30:54.184153,,"-80.195101, 120.163348",MockSource,Gaming,USD,https://placeholder.url
74,212,51.736000000000004,51.736000000000004,festival,114.86,8.89,2024-11-23 12:30:54.171103,,"-56.726545, -166.815343",MockSource,Festivals,USD,https://placeholder.url
75,554,51.49,51.49,outdoor,11.19,5.83,2024-11-24 22:30:54.177139,,"7.238191, -142.179004",MockSource,Outdoors,USD,https://placeholder.url
76,249,51.47200000000001,51.47200000000001,sport,90.49,93.17,2024-11-22 12:45:54.171103,,"-35.883257, -159.856435",MockSource,Sports,USD,https://placeholder.url
77,174,51.104000000000006,51.104000000000006,science,43.9,23.33,2024-11-22 19:00:54.170103,,"-31.232659, -33.331129",MockSource,Science,USD,https://placeholder.url
78,439,50.896,50.896,science,31.34,29.55,2024-11-23 20:45:54.174103,,"-45.820834, 58.28047",MockSource,Science,USD,https://placeholder.url
79,686,50.896,50.896,community,18.12,20.45,2024-11-23 20:45:54.179186,,"-79.084494, -99.257286",MockSource,Community,USD,https://placeholder.url
80,178,50.688,50.688,gaming,40.1,16.45,2024-11-23 21:15:54.170103,,"-4.635839, 176.122269",MockSource,Gaming,USD,https://placeholder.url
81,996,50.68,50.68,music,43.81,5.73,2024-11-26 21:15:54.185136,,"20.834749, 99.525217",MockSource,Music,USD,https://placeholder.url
82,408,50.592000000000006,50.592000000000006,science,47.65,12.95,2024-11-22 17:45:54.174103,,"25.786872, -96.69781",MockSource,Science,USD,https://placeholder.url
84,415,50.584,50.584,community,17.02,80.98,2024-11-23 21:30:54.174103,,"82.695677, 41.190845",MockSource,Community,USD,https://placeholder.url
83,208,50.584,50.584,gaming,41.6,60.03,2024-11-23 21:30:54.171103,,"-49.530273, 166.282746",MockSource,Gaming,USD,https://placeholder.url
85,565,50.272000000000006,50.272000000000006,gaming,44.84,76.57,2024-11-23 22:15:54.177139,,"-38.175845, -163.954586",MockSource,Gaming,USD,https://placeholder.url
86,128,50.064,50.064,community,19.65,67.36,2024-11-23 22:45:54.169103,,"-5.734765, 121.386425",MockSource,Community,USD,https://placeholder.url
87,140,49.968,49.968,community,6.61,60.51,2024-11-22 16:15:54.170103,,"49.803153, 149.204718",MockSource,Community,USD,https://placeholder.url
88,678,49.856,49.856,sport,58.09,15.62,2024-11-22 16:00:54.179186,,"30.561585, 46.909887",MockSource,Sports,USD,https://placeholder.url
89,474,49.848000000000006,49.848000000000006,community,19.93,85.94,2024-11-23 23:15:54.175103,,"65.629569, 147.798579",MockSource,Community,USD,https://placeholder.url
90,321,49.64,49.64,community,10.27,64.21,2024-11-23 23:45:54.172103,,"46.192715, 20.209682",MockSource,Community,USD,https://placeholder.url
91,908,49.584,49.584,sport,115.33,15.66,2024-11-24 17:45:54.183144,,"-29.408291, -44.224255",MockSource,Sports,USD,https://placeholder.url
92,793,49.408,49.408,sport,155.36,90.72,2024-11-24 18:45:54.181180,,"-66.481739, 92.636132",MockSource,Sports,USD,https://placeholder.url
93,360,49.248000000000005,49.248000000000005,holiday,86.14,7.9,2024-11-22 21:30:54.173103,,"-47.99525, 84.463988",MockSource,Holiday,USD,https://placeholder.url
94,560,49.21600000000001,49.21600000000001,community,19.63,83.69,2024-11-22 14:30:54.177139,,"42.011538, 32.555466",MockSource,Community,USD,https://placeholder.url
95,607,48.93,48.93,nightlife,99.43,4.48,2024-11-23 09:45:54.178154,,"-77.663048, -128.230841",MockSource,Nightlife,USD,https://placeholder.url
96,671,48.848000000000006,48.848000000000006,sport,129.82,26.18,2024-11-24 22:30:54.179186,,"-2.221233, -149.363608",MockSource,Sports,USD,https://placeholder.url
97,530,48.792,48.792,gaming,35.21,20.49,2024-11-22 13:30:54.176103,,"-36.173168, -2.452637",MockSource,Gaming,USD,https://placeholder.url
98,980,48.664,48.664,holiday,90.65,7.77,2024-11-22 19:15:54.184153,,"80.413729, 21.217329",MockSource,Holiday,USD,https://placeholder.url
99,698,48.36000000000001,48.36000000000001,community,16.06,10.36,2024-11-22 12:30:54.179186,,"54.890722, -106.495582",MockSource,Community,USD,https://placeholder.url
100,745,48.344,48.344,science,93.43,81.7,2024-11-24 10:45:54.180165,,"-48.460858, -108.204458",MockSource,Science,USD,https://placeholder.url
102,692,48.0,48.0,sport,238.49,42.23,2024-11-28 18:30:54.179186,,"-11.651023, 56.676365",MockSource,Sports,USD,https://placeholder.url
101,465,48.0,48.0,sport,157.81,26.53,2024-11-28 17:30:54.175103,,"-24.44987, 48.643462",MockSource,Sports,USD,https://placeholder.url
103,952,48.0,48.0,sport,199.84,26.0,2024-11-25 21:30:54.184153,,"-38.833185, 10.194065",MockSource,Sports,USD,https://placeholder.url
104,866,47.792,47.792,charity,24.35,6.35,2024-11-22 17:30:54.182140,,"47.794188, 133.961955",MockSource,Charity,USD,https://placeholder.url
105,501,47.6,47.6,wellne,16.05,8.13,2024-11-23 10:15:54.176103,,"-84.439498, 107.193418",MockSource,Wellness,USD,https://placeholder.url
106,256,47.416000000000004,47.416000000000004,science,91.01,40.83,2024-11-24 14:00:54.171103,,"62.207542, 51.650068",MockSource,Science,USD,https://placeholder.url
107,722,47.31,47.31,nightlife,97.55,3.05,2024-11-22 21:15:54.180165,,"74.562803, 98.013238",MockSource,Nightlife,USD,https://placeholder.url
108,136,46.93600000000001,46.93600000000001,science,23.25,66.63,2024-11-22 09:00:54.170103,,"36.814582, 164.775945",MockSource,Science,USD,https://placeholder.url
109,68,46.744,46.744,community,16.28,47.83,2024-11-22 08:30:54.168103,,"78.780077, -9.065855",MockSource,Community,USD,https://placeholder.url
110,623,46.44,46.44,festival,78.59,7.89,2024-11-22 14:30:54.178154,,"-30.010778, 159.697425",MockSource,Festivals,USD,https://placeholder.url
111,668,45.264,45.264,gaming,25.55,46.93,2024-11-24 11:00:54.179186,,"0.705194, 50.472778",MockSource,Gaming,USD,https://placeholder.url
112,134,45.0,45.0,science,84.3,43.04,2024-11-28 15:15:54.170103,,"-56.460022, -119.368204",MockSource,Science,USD,https://placeholder.url
113,323,45.0,45.0,sport,92.33,15.38,2024-11-27 22:30:54.172103,,"-32.445108, 81.726823",MockSource,Sports,USD,https://placeholder.url
114,884,45.0,45.0,science,84.61,23.79,2024-11-25 21:15:54.183144,,"-85.693523, 79.597238",MockSource,Science,USD,https://placeholder.url
115,108,44.96000000000001,44.96000000000001,community,6.48,15.45,2024-11-24 12:00:54.169103,,"-85.248568, -138.489763",MockSource,Community,USD,https://placeholder.url
116,564,44.888000000000005,44.888000000000005,sport,43.16,53.56,2024-11-24 12:15:54.177139,,"18.675182, -79.296634",MockSource,Sports,USD,https://placeholder.url
117,477,44.816,44.816,gaming,27.33,72.07,2024-11-24 12:30:54.175103,,"-50.01112, 14.290247",MockSource,Gaming,USD,https://placeholder.url
119,929,44.544000000000004,44.544000000000004,gaming,51.02,37.49,2024-11-24 13:30:54.183144,,"76.101846, 165.616722",MockSource,Gaming,USD,https://placeholder.url
118,177,44.544000000000004,44.544000000000004,community,10.5,18.74,2024-11-24 13:30:54.170103,,"-18.640245, -174.947686",MockSource,Community,USD,https://placeholder.url
120,429,44.480000000000004,44.480000000000004,gaming,54.67,83.66,2024-11-24 13:45:54.174103,,"27.322991, -61.74727",MockSource,Gaming,USD,https://placeholder.url
121,480,44.42400000000001,44.42400000000001,virtual,39.6,7.82,2024-11-23 22:45:54.175103,,"-25.27338, 135.131505",MockSource,Virtual,USD,https://placeholder.url
122,864,44.112,44.112,wellne,66.96,8.88,2024-11-22 21:00:54.182140,,"83.710538, -108.661185",MockSource,Wellness,USD,https://placeholder.url
123,555,44.056000000000004,44.056000000000004,festival,152.03,7.43,2024-11-24 22:00:54.177139,,"76.348306, -8.495343",MockSource,Festivals,USD,https://placeholder.url
124,339,43.832,43.832,community,17.13,83.44,2024-11-24 16:30:54.173103,,"-17.814645, 26.563423",MockSource,Community,USD,https://placeholder.url
125,88,43.829976253508384,43.829976253508384,theater,142.24,0.12,2024-12-02 19:00:54.169103,,"-9.367836, -128.064513",MockSource,Theater,USD,https://placeholder.url
126,151,43.784,43.784,gaming,58.64,29.27,2024-11-24 16:45:54.170103,,"-33.85682, 158.740785",MockSource,Gaming,USD,https://placeholder.url
127,486,43.688,43.688,wellne,48.25,8.95,2024-11-22 20:15:54.175103,,"40.267213, -133.315905",MockSource,Wellness,USD,https://placeholder.url
128,902,43.68000000000001,43.68000000000001,community,12.05,85.63,2024-11-24 17:15:54.183144,,"3.539303, 152.863863",MockSource,Community,USD,https://placeholder.url
130,762,43.496,43.496,sport,58.98,38.83,2024-11-24 18:15:54.180165,,"-66.280021, -126.105257",MockSource,Sports,USD,https://placeholder.url
129,847,43.496,43.496,gaming,55.01,29.07,2024-11-24 18:15:54.182140,,"30.991746, -178.068659",MockSource,Gaming,USD,https://placeholder.url
131,29,43.44800000000001,43.44800000000001,sport,63.54,92.95,2024-11-24 18:30:54.168103,,"-83.334061, -33.675179",MockSource,Sports,USD,https://placeholder.url
132,263,43.32,43.32,gaming,45.81,93.45,2024-11-24 19:15:54.171103,,"14.311479, 42.478856",MockSource,Gaming,USD,https://placeholder.url
133,995,43.160000000000004,43.160000000000004,science,68.98,87.39,2024-11-24 20:15:54.185136,,"-22.548036, -45.3199",MockSource,Science,USD,https://placeholder.url
134,296,43.088,43.088,community,6.76,18.91,2024-11-24 20:45:54.172103,,"-74.803297, 57.547838",MockSource,Community,USD,https://placeholder.url
135,860,42.944,42.944,community,2.89,10.18,2024-11-24 21:45:54.182140,,"-15.956499, -89.214787",MockSource,Community,USD,https://placeholder.url
136,330,42.912000000000006,42.912000000000006,sport,54.61,89.78,2024-11-24 22:00:54.172103,,"57.231017, -102.52483",MockSource,Sports,USD,https://placeholder.url
137,57,42.88,42.88,community,10.67,30.46,2024-11-24 22:15:54.168103,,"-0.030199, 153.09207",MockSource,Community,USD,https://placeholder.url
138,154,42.84,42.84,charity,46.24,8.98,2024-11-22 18:15:54.170103,,"-8.930296, -38.719061",MockSource,Charity,USD,https://placeholder.url
139,634,42.824000000000005,42.824000000000005,community,14.45,59.71,2024-11-24 22:45:54.178154,,"-29.476471, -133.751633",MockSource,Community,USD,https://placeholder.url
140,514,42.792,42.792,community,10.15,30.94,2024-11-24 23:00:54.176103,,"-61.462488, -148.830879",MockSource,Community,USD,https://placeholder.url
141,604,42.792,42.792,community,15.86,38.78,2024-11-24 23:00:54.177139,,"58.897132, -135.733558",MockSource,Community,USD,https://placeholder.url
151,948,42.0,42.0,gaming,35.13,20.98,2024-11-28 19:30:54.184153,,"-34.420752, 112.344291",MockSource,Gaming,USD,https://placeholder.url
143,619,42.0,42.0,science,30.82,53.56,2024-11-26 22:00:54.178154,,"-22.654989, 58.988923",MockSource,Science,USD,https://placeholder.url
144,13,42.0,42.0,community,17.8,41.09,2024-11-28 14:00:54.168103,,"-67.585822, -85.716197",MockSource,Community,USD,https://placeholder.url
152,424,42.0,42.0,gaming,56.27,88.41,2024-11-27 22:00:54.174103,,"66.334106, -134.6006",MockSource,Gaming,USD,https://placeholder.url
146,158,42.0,42.0,science,38.59,15.72,2024-11-28 17:30:54.170103,,"-81.123777, 92.946582",MockSource,Science,USD,https://placeholder.url
153,53,42.0,42.0,science,69.31,13.72,2024-11-26 22:30:54.168103,,"-42.843125, 24.883737",MockSource,Science,USD,https://placeholder.url
142,516,42.0,42.0,community,16.99,64.46,2024-11-26 16:00:54.176103,,"28.191775, -136.225645",MockSource,Community,USD,https://placeholder.url
145,188,42.0,42.0,community,14.45,82.52,2024-11-26 19:45:54.170103,,"0.608068, -143.458011",MockSource,Community,USD,https://placeholder.url
148,855,42.0,42.0,science,52.91,24.29,2024-11-27 19:45:54.182140,,"-34.687098, 34.052624",MockSource,Science,USD,https://placeholder.url
149,399,42.0,42.0,community,5.61,11.15,2024-11-25 23:00:54.174103,,"14.916874, 100.344398",MockSource,Community,USD,https://placeholder.url
150,930,42.0,42.0,gaming,42.19,21.97,2024-11-26 08:15:54.183144,,"-6.691913, -126.060315",MockSource,Gaming,USD,https://placeholder.url
147,267,42.0,42.0,science,23.29,99.06,2024-11-26 19:15:54.171103,,"-69.153115, -60.180751",MockSource,Science,USD,https://placeholder.url
154,790,41.608000000000004,41.608000000000004,music,112.07,43.35,2024-11-23 12:00:54.181180,,"51.328682, 147.416699",MockSource,Music,USD,https://placeholder.url
155,580,41.464,41.464,conference,216.32,41.59,2024-11-23 12:45:54.177139,,"-36.932339, -19.400211",MockSource,Conferences,USD,https://placeholder.url
156,789,41.33642142722222,41.33642142722222,sport,102.84,47.97,2024-11-29 14:15:54.181180,,"70.774733, 96.979276",MockSource,Sports,USD,https://placeholder.url
157,273,41.176,41.176,music,147.3,18.48,2024-11-23 14:00:54.172103,,"63.127402, -71.762428",MockSource,Music,USD,https://placeholder.url
158,753,41.120000000000005,41.120000000000005,theater,146.48,47.04,2024-11-23 14:15:54.180165,,"-52.790333, -65.39183",MockSource,Theater,USD,https://placeholder.url
159,159,41.048,41.048,conference,231.65,32.96,2024-11-23 14:30:54.170103,,"-26.046803, 6.038921",MockSource,Conferences,USD,https://placeholder.url
160,333,40.51142165158333,40.51142165158333,sport,249.37,71.36,2024-11-29 22:30:54.173103,,"-31.220811, 151.450324",MockSource,Sports,USD,https://placeholder.url
161,782,40.464,40.464,theater,136.13,76.83,2024-11-23 16:30:54.181180,,"-81.008083, -94.384846",MockSource,Theater,USD,https://placeholder.url
162,460,40.392,40.392,music,108.75,80.59,2024-11-22 22:30:54.175103,,"-69.729639, 85.653207",MockSource,Music,USD,https://placeholder.url
163,834,40.392,40.392,conference,101.59,29.36,2024-11-22 22:30:54.182140,,"-69.982632, 101.090383",MockSource,Conferences,USD,https://placeholder.url
165,301,40.224000000000004,40.224000000000004,theater,122.63,48.76,2024-11-22 22:00:54.172103,,"-10.995013, 4.778858",MockSource,Theater,USD,https://placeholder.url
164,543,40.224000000000004,40.224000000000004,festival,183.14,75.33,2024-11-22 22:00:54.176103,,"-13.693974, 144.152782",MockSource,Festivals,USD,https://placeholder.url
166,206,40.136,40.136,festival,153.0,93.04,2024-11-22 21:45:54.171103,,"-11.332793, -75.729392",MockSource,Festivals,USD,https://placeholder.url
167,924,40.07,40.07,exhibition,93.31,1.95,2024-11-24 09:45:54.183144,,"-20.034568, 154.183845",MockSource,Exhibitions,USD,https://placeholder.url
168,262,40.062131769317084,40.062131769317084,wellne,11.72,4.9,2024-12-01 13:45:54.171103,,"-86.311853, -158.943515",MockSource,Wellness,USD,https://placeholder.url
169,730,39.92,39.92,holiday,19.03,6.62,2024-11-24 20:15:54.180165,,"14.340794, 162.706777",MockSource,Holiday,USD,https://placeholder.url
170,365,39.87200000000001,39.87200000000001,festival,120.37,84.49,2024-11-22 21:00:54.173103,,"-43.273679, -60.973742",MockSource,Festivals,USD,https://placeholder.url
171,867,39.79434383949062,39.79434383949062,pet,44.25,3.79,2024-12-01 20:30:54.182140,,"-33.072616, -24.199233",MockSource,Pets,USD,https://placeholder.url
173,129,39.584,39.584,festival,180.75,21.47,2024-11-23 19:00:54.169103,,"-22.694386, -84.785754",MockSource,Festivals,USD,https://placeholder.url
172,759,39.584,39.584,conference,206.87,53.75,2024-11-23 19:00:54.180165,,"-44.562651, 13.894541",MockSource,Conferences,USD,https://placeholder.url
174,509,39.488,39.488,festival,122.52,23.19,2024-11-23 19:15:54.176103,,"-54.316218, -76.071643",MockSource,Festivals,USD,https://placeholder.url
175,640,39.392,39.392,music,149.79,21.06,2024-11-23 19:30:54.178154,,"-73.783296, -116.739335",MockSource,Music,USD,https://placeholder.url
176,795,39.376000000000005,39.376000000000005,wellne,60.19,6.31,2024-11-27 22:30:54.181180,,"49.98123, -70.175787",MockSource,Wellness,USD,https://placeholder.url
177,359,39.034145298359384,39.034145298359384,science,77.85,94.67,2024-11-29 11:15:54.173103,,"51.065409, -86.145296",MockSource,Science,USD,https://placeholder.url
178,304,38.992000000000004,38.992000000000004,festival,70.8,24.12,2024-11-23 08:15:54.172103,,"-70.441906, 36.572346",MockSource,Festivals,USD,https://placeholder.url
179,222,38.904,38.904,festival,174.85,53.97,2024-11-22 18:30:54.171103,,"-18.895699, 77.19478",MockSource,Festivals,USD,https://placeholder.url
180,227,38.88,38.88,holiday,92.84,55.04,2024-11-23 10:00:54.171103,,"-50.391133, 71.740783",MockSource,Holiday,USD,https://placeholder.url
181,749,38.823207614453125,38.823207614453125,science,94.19,28.54,2024-11-29 13:30:54.180165,,"-46.06969, -144.421144",MockSource,Science,USD,https://placeholder.url
182,434,38.688,38.688,music,147.56,77.34,2024-11-23 21:15:54.174103,,"57.765185, 81.714877",MockSource,Music,USD,https://placeholder.url
