Rank,Event ID,Raw Score,Final Score,Event Type,Price ($),Distance (km),Date/Time,description,location,source,type,currencyCode,url
43,467,7006.33,7006.33,Workshops,44.63,17.01,2024-11-24 18:15:54.175103,,"48.309724, 142.462345",MockSource,Workshops,USD,https://placeholder.url
44,607,6967.2,6967.2,Nightlife,99.43,4.48,2024-11-23 09:45:54.178154,,"-77.663048, -128.230841",MockSource,Nightlife,USD,https://placeholder.url
45,14,6870.39,6870.39,Sports,57.84,13.85,2024-11-23 12:15:54.168103,,"60.044862, 60.305607",MockSource,Sports,USD,https://placeholder.url
46,667,6716.32,6716.32,Festivals,93.61,27.78,2024-11-23 19:15:54.179186,,"14.316611, 148.336943",MockSource,Festivals,USD,https://placeholder.url
47,495,6715.42,6715.42,Virtual,26.2,10.02,2024-11-23 15:00:54.175103,,"50.106693, -33.121582",MockSource,Virtual,USD,https://placeholder.url
48,891,6708.58,6708.58,Virtual,29.04,8.93,2024-11-24 22:15:54.183144,,"-2.500633, -89.7738",MockSource,Virtual,USD,https://placeholder.url
49,751,6675.91,6675.91,Charity,3.04,13.51,2024-11-24 12:45:54.180165,,"-69.556307, 116.915468",MockSource,Charity,USD,https://placeholder.url
50,200,6637.86,6637.86,Community,11.06,0.21,2024-11-23 17:45:54.170103,,"-82.275259, 72.017949",MockSource,Community,USD,https://placeholder.url
51,108,6632.07,6632.07,Community,6.48,15.45,2024-11-24 12:00:54.169103,,"-85.248568, -138.489763",MockSource,Community,USD,https://placeholder.url
52,433,6597.89,6597.89,Workshops,13.13,14.44,2024-11-24 14:30:54.174103,,"-45.089648, -65.467211",MockSource,Workshops,USD,https://placeholder.url
53,304,6505.336,6505.336,Festivals,70.8,24.12,2024-11-23 08:15:54.172103,,"-70.441906, 36.572346",MockSource,Festivals,USD,https://placeholder.url
54,730,6482.98,6482.98,Holiday,19.03,6.62,2024-11-24 20:15:54.180165,,"14.340794, 162.706777",MockSource,Holiday,USD,https://placeholder.url
55,52,6459.91,6459.91,Sports,115.6,10.56,2024-11-23 17:30:54.168103,,"-20.397408, 35.951536",MockSource,Sports,USD,https://placeholder.url
56,509,6422.32,6422.32,Festivals,122.52,23.19,2024-11-23 19:15:54.176103,,"-54.316218, -76.071643",MockSource,Festivals,USD,https://placeholder.url
57,908,6392.78,6392.78,Sports,115.33,15.66,2024-11-24 17:45:54.183144,,"-29.408291, -44.224255",MockSource,Sports,USD,https://placeholder.url
58,554,6379.27,6379.27,Outdoors,11.19,5.83,2024-11-24 22:30:54.177139,,"7.238191, -142.179004",MockSource,Outdoors,USD,https://placeholder.url
59,294,6356.61,6356.61,Community,5.84,10.56,2024-11-23 15:30:54.172103,,"-75.422328, -52.408687",MockSource,Community,USD,https://placeholder.url
60,860,6336.4,6336.4,Community,2.89,10.18,2024-11-24 21:45:54.182140,,"-15.956499, -89.214787",MockSource,Community,USD,https://placeholder.url
61,844,6335.16,6335.16,Theater,117.96,2.09,2024-11-23 12:00:54.182140,,"23.757347, -34.519152",MockSource,Theater,USD,https://placeholder.url
62,405,6288.81,6288.81,Film,19.59,11.98,2024-11-24 22:00:54.174103,,"50.979484, 8.333384",MockSource,Film,USD,https://placeholder.url
63,752,6277.06,6277.06,Wellness,21.39,7.68,2024-11-24 23:45:54.180165,,"-13.203509, 168.949629",MockSource,Wellness,USD,https://placeholder.url
64,557,6247.76,6247.76,Charity,6.99,11.38,2024-11-23 13:45:54.177139,,"-48.687901, -149.770301",MockSource,Charity,USD,https://placeholder.url
65,423,6234.53,6234.53,Theater,101.16,6.46,2024-11-23 11:45:54.174103,,"33.390637, 136.864991",MockSource,Theater,USD,https://placeholder.url
66,871,6194.86,6194.86,Exhibitions,87.11,4.77,2024-11-26 15:15:54.182140,,"-65.197133, 67.382865",MockSource,Exhibitions,USD,https://placeholder.url
67,787,6179.05,6179.05,Outdoors,21.46,0.99,2024-11-23 09:00:54.181180,,"46.66879, 24.818322",MockSource,Outdoors,USD,https://placeholder.url
68,996,6176.57,6176.57,Music,43.81,5.73,2024-11-26 21:15:54.185136,,"20.834749, 99.525217",MockSource,Music,USD,https://placeholder.url
69,991,6170.86,6170.86,Exhibitions,58.16,6.03,2024-11-29 17:15:54.185136,,"-21.358001, 37.66387",MockSource,Exhibitions,USD,https://placeholder.url
70,795,6165.52,6165.52,Wellness,60.19,6.31,2024-11-27 22:30:54.181180,,"49.98123, -70.175787",MockSource,Wellness,USD,https://placeholder.url
71,501,6123.87,6123.87,Wellness,16.05,8.13,2024-11-23 10:15:54.176103,,"-84.439498, 107.193418",MockSource,Wellness,USD,https://placeholder.url
72,596,6108.76,6108.76,Workshops,45.26,9.29,2024-11-28 17:30:54.177139,,"-44.268716, 40.235457",MockSource,Workshops,USD,https://placeholder.url
73,933,6107.24,6107.24,Wellness,43.04,9.37,2024-11-26 21:45:54.184153,,"-15.567515, -10.194907",MockSource,Wellness,USD,https://placeholder.url
74,648,6103.62,6103.62,Holiday,78.68,9.56,2024-11-26 17:45:54.178154,,"-3.785279, 73.767208",MockSource,Holiday,USD,https://placeholder.url
75,636,6098.29,6098.29,Charity,41.27,9.84,2024-11-26 20:45:54.178154,,"40.641461, -6.869132",MockSource,Charity,USD,https://placeholder.url
76,788,6065.14,6065.14,Pets,40.77,11.58,2024-11-27 23:15:54.181180,,"74.150346, -167.773353",MockSource,Pets,USD,https://placeholder.url
77,53,6024.38,6024.38,Science,69.31,13.72,2024-11-26 22:30:54.168103,,"-42.843125, 24.883737",MockSource,Science,USD,https://placeholder.url
78,425,5994.73,5994.73,Theater,147.58,3.04,2024-11-23 20:00:54.174103,,"21.198265, -113.673609",MockSource,Theater,USD,https://placeholder.url
79,323,5968.33,5968.33,Sports,92.33,15.38,2024-11-27 22:30:54.172103,,"-32.445108, 81.726823",MockSource,Sports,USD,https://placeholder.url
80,158,5940.0,5940.0,Science,38.59,15.72,2024-11-28 17:30:54.170103,,"-81.123777, 92.946582",MockSource,Science,USD,https://placeholder.url
81,245,5900.83,5900.83,Theater,62.55,16.19,2024-11-26 23:45:54.171103,,"-50.032457, -159.76848",MockSource,Theater,USD,https://placeholder.url
82,587,5875.0,5875.0,Gaming,25.31,3.45,2024-11-26 20:00:54.177139,,"-81.049615, 139.158508",MockSource,Gaming,USD,https://placeholder.url
83,233,5864.17,5864.17,Nightlife,95.45,16.63,2024-11-26 22:00:54.171103,,"44.900828, 129.247287",MockSource,Nightlife,USD,https://placeholder.url
84,672,5776.92,5776.92,Festivals,75.58,35.53,2024-11-24 17:15:54.179186,,"49.968769, 163.007073",MockSource,Festivals,USD,https://placeholder.url
85,144,5747.28,5747.28,Festivals,184.81,4.01,2024-11-23 19:15:54.170103,,"-63.043539, -130.668033",MockSource,Festivals,USD,https://placeholder.url
86,987,5720.21,5720.21,Music,138.68,14.44,2024-11-24 17:30:54.185136,,"-83.840021, -72.078303",MockSource,Music,USD,https://placeholder.url
87,121,5649.072,5649.072,Festivals,82.1,46.12,2024-11-23 16:15:54.169103,,"-64.81197, 39.022649",MockSource,Festivals,USD,https://placeholder.url
88,670,5563.68,5563.68,Festivals,81.35,33.78,2024-11-24 22:30:54.179186,,"79.325956, 84.243528",MockSource,Festivals,USD,https://placeholder.url
89,380,5550.13,5550.13,Music,135.88,15.74,2024-11-24 19:30:54.173103,,"25.195482, -123.434783",MockSource,Music,USD,https://placeholder.url
90,566,5550.01,5550.01,Theater,143.44,7.23,2024-11-23 13:15:54.177139,,"6.162348, 138.86493",MockSource,Theater,USD,https://placeholder.url
91,807,5531.544000000001,5531.544000000001,Festivals,83.7,34.23,2024-11-24 23:15:54.181180,,"-76.128058, 43.533628",MockSource,Festivals,USD,https://placeholder.url
92,327,5531.528,5531.528,Networking,52.07,20.71,2024-11-23 23:45:54.172103,,"41.071427, 14.880747",MockSource,Networking,USD,https://placeholder.url
93,555,5512.835999999999,5512.835999999999,Festivals,152.03,7.43,2024-11-24 22:00:54.177139,,"76.348306, -8.495343",MockSource,Festivals,USD,https://placeholder.url
94,768,5500.0,5500.0,Pets,4.43,4.38,2024-11-28 13:00:54.180165,,"42.627017, -112.898324",MockSource,Pets,USD,https://placeholder.url
95,4,5500.0,5500.0,Gaming,16.63,2.28,2024-11-27 15:45:54.167103,,"-0.974403, -134.609104",MockSource,Gaming,USD,https://placeholder.url
96,507,5478.952,5478.952,Family,48.59,18.47,2024-11-23 17:45:54.176103,,"-68.346494, -78.82777",MockSource,Family,USD,https://placeholder.url
97,334,5460.928,5460.928,Exhibitions,47.43,20.79,2024-11-23 21:30:54.173103,,"61.872092, 128.394465",MockSource,Exhibitions,USD,https://placeholder.url
98,674,5438.688,5438.688,Pets,41.43,18.3,2024-11-24 20:15:54.179186,,"40.819319, 43.17609",MockSource,Pets,USD,https://placeholder.url
99,399,5405.2,5405.2,Community,5.61,11.15,2024-11-25 23:00:54.174103,,"14.916874, 100.344398",MockSource,Community,USD,https://placeholder.url
100,746,5401.43,5401.43,Virtual,10.35,7.05,2024-11-28 09:45:54.180165,,"87.826505, 24.123476",MockSource,Virtual,USD,https://placeholder.url
101,64,5376.1,5376.1,Workshops,18.21,8.38,2024-11-27 20:15:54.168103,,"-83.940512, 126.934084",MockSource,Workshops,USD,https://placeholder.url
102,1,5373.76,5373.76,Festivals,68.6,31.22,2024-11-23 09:45:54.167103,,"24.605471, -83.249576",MockSource,Festivals,USD,https://placeholder.url
103,247,5370.552,5370.552,Wellness,33.68,23.02,2024-11-24 13:15:54.171103,,"47.277053, -46.593126",MockSource,Wellness,USD,https://placeholder.url
104,358,5365.3761872102605,5365.3761872102605,Nightlife,70.17,6.82,2024-11-30 13:00:54.173103,,"-16.059513, 65.09589",MockSource,Nightlife,USD,https://placeholder.url
105,562,5316.296,5316.296,Outdoors,69.12,25.04,2024-11-24 09:00:54.177139,,"-26.90519, -151.867077",MockSource,Outdoors,USD,https://placeholder.url
106,852,5315.33,5315.33,Pets,1.51,11.57,2024-11-28 23:00:54.182140,,"-37.026967, -91.588095",MockSource,Pets,USD,https://placeholder.url
107,150,5313.68,5313.68,Nightlife,35.94,18.75,2024-11-24 22:30:54.170103,,"-45.803876, 10.019073",MockSource,Nightlife,USD,https://placeholder.url
108,705,5304.848000000001,5304.848000000001,Wellness,48.57,23.0,2024-11-24 15:30:54.179186,,"-73.30459, -102.763771",MockSource,Wellness,USD,https://placeholder.url
109,822,5277.784,5277.784,Festivals,101.18,40.11,2024-11-23 22:30:54.181180,,"52.447504, -84.324324",MockSource,Festivals,USD,https://placeholder.url
110,365,5265.368,5265.368,Festivals,120.37,84.49,2024-11-22 21:00:54.173103,,"-43.273679, -60.973742",MockSource,Festivals,USD,https://placeholder.url
111,174,5230.032,5230.032,Science,43.9,23.33,2024-11-22 19:00:54.170103,,"-31.232659, -33.331129",MockSource,Science,USD,https://placeholder.url
112,276,5205.368,5205.368,Film,24.82,21.45,2024-11-22 22:45:54.172103,,"14.818195, 5.889408",MockSource,Film,USD,https://placeholder.url
113,561,5185.872,5185.872,Exhibitions,83.43,24.66,2024-11-24 15:45:54.177139,,"47.854396, -108.915442",MockSource,Exhibitions,USD,https://placeholder.url
114,357,5177.0960000000005,5177.0960000000005,Nightlife,72.63,20.65,2024-11-23 14:00:54.173103,,"-31.333779, -72.913157",MockSource,Nightlife,USD,https://placeholder.url
115,550,5133.472000000001,5133.472000000001,Exhibitions,39.02,20.34,2024-11-23 12:30:54.176103,,"60.683866, 74.183263",MockSource,Exhibitions,USD,https://placeholder.url
116,935,5093.52,5093.52,Virtual,27.44,18.35,2024-11-24 21:15:54.184153,,"-76.213873, 40.512079",MockSource,Virtual,USD,https://placeholder.url
117,584,5092.704000000001,5092.704000000001,Nightlife,87.17,27.19,2024-11-22 22:00:54.177139,,"16.455805, 23.994395",MockSource,Nightlife,USD,https://placeholder.url
118,590,5078.344000000001,5078.344000000001,Wellness,68.28,22.28,2024-11-24 22:30:54.177139,,"-17.798246, -19.435779",MockSource,Wellness,USD,https://placeholder.url
119,126,5059.368,5059.368,Nightlife,86.47,27.99,2024-11-22 22:30:54.169103,,"9.363475, -105.754226",MockSource,Nightlife,USD,https://placeholder.url
120,177,5049.184,5049.184,Community,10.5,18.74,2024-11-24 13:30:54.170103,,"-18.640245, -174.947686",MockSource,Community,USD,https://placeholder.url
121,971,5039.592000000001,5039.592000000001,Workshops,48.27,26.06,2024-11-24 17:15:54.184153,,"-27.895125, 67.092762",MockSource,Workshops,USD,https://placeholder.url
122,867,5037.31548302228,5037.31548302228,Pets,44.25,3.79,2024-12-01 20:30:54.182140,,"-33.072616, -24.199233",MockSource,Pets,USD,https://placeholder.url
123,960,5037.104,5037.104,Gaming,56.24,25.54,2024-11-23 18:30:54.184153,,"-80.195101, 120.163348",MockSource,Gaming,USD,https://placeholder.url
124,118,5030.6720000000005,5030.6720000000005,Holiday,76.77,24.74,2024-11-23 17:00:54.169103,,"-65.068007, -104.175725",MockSource,Holiday,USD,https://placeholder.url
125,599,5019.17,5019.17,Virtual,17.08,17.77,2024-11-27 09:30:54.177139,,"87.146592, 52.920535",MockSource,Virtual,USD,https://placeholder.url
126,887,5011.566904734419,5011.566904734419,Outdoors,75.6,13.77,2024-12-01 08:00:54.183144,,"-24.76462, 19.642465",MockSource,Outdoors,USD,https://placeholder.url
127,824,4962.032,4962.032,Networking,59.43,27.5,2024-11-22 19:15:54.182140,,"-63.426785, -116.504576",MockSource,Networking,USD,https://placeholder.url
128,626,4944.344000000001,4944.344000000001,Nightlife,32.06,24.29,2024-11-24 22:30:54.178154,,"-51.717266, -1.101646",MockSource,Nightlife,USD,https://placeholder.url
129,101,4929.264,4929.264,Virtual,49.33,22.29,2024-11-23 10:45:54.169103,,"-7.353803, -74.541896",MockSource,Virtual,USD,https://placeholder.url
130,906,4928.032,4928.032,Film,25.1,24.71,2024-11-22 21:15:54.183144,,"-64.124504, 8.741617",MockSource,Film,USD,https://placeholder.url
131,196,4902.704000000001,4902.704000000001,Charity,3.04,19.24,2024-11-22 19:00:54.170103,,"-70.171732, -111.014881",MockSource,Charity,USD,https://placeholder.url
132,686,4858.696,4858.696,Community,18.12,20.45,2024-11-23 20:45:54.179186,,"-79.084494, -99.257286",MockSource,Community,USD,https://placeholder.url
133,439,4852.032,4852.032,Science,31.34,29.55,2024-11-23 20:45:54.174103,,"-45.820834, 58.28047",MockSource,Science,USD,https://placeholder.url
134,872,4844.808,4844.808,Exhibitions,50.67,24.67,2024-11-23 12:30:54.182140,,"-75.974821, -11.052378",MockSource,Exhibitions,USD,https://placeholder.url
135,151,4843.792,4843.792,Gaming,58.64,29.27,2024-11-24 16:45:54.170103,,"-33.85682, 158.740785",MockSource,Gaming,USD,https://placeholder.url
136,107,4843.552,4843.552,Charity,29.53,23.49,2024-11-24 19:00:54.169103,,"72.833744, 85.930579",MockSource,Charity,USD,https://placeholder.url
137,847,4801.064,4801.064,Gaming,55.01,29.07,2024-11-24 18:15:54.182140,,"30.991746, -178.068659",MockSource,Gaming,USD,https://placeholder.url
139,166,4800.0,4800.0,Festivals,63.64,61.34,2024-11-27 15:45:54.170103,,"-30.739254, 13.24974",MockSource,Festivals,USD,https://placeholder.url
138,390,4800.0,4800.0,Festivals,70.24,39.72,2024-11-26 15:30:54.173103,,"39.7416, 81.591193",MockSource,Festivals,USD,https://placeholder.url
140,843,4783.6320000000005,4783.6320000000005,Networking,118.7,20.76,2024-11-24 17:30:54.182140,,"61.094411, 163.033136",MockSource,Networking,USD,https://placeholder.url
141,296,4777.2080000000005,4777.2080000000005,Community,6.76,18.91,2024-11-24 20:45:54.172103,,"-74.803297, 57.547838",MockSource,Community,USD,https://placeholder.url
142,845,4730.368,4730.368,Virtual,14.39,23.63,2024-11-23 23:30:54.182140,,"-38.033403, 171.24453",MockSource,Virtual,USD,https://placeholder.url
143,420,4730.296,4730.296,Networking,115.89,19.31,2024-11-23 15:30:54.174103,,"-76.528301, 3.920673",MockSource,Networking,USD,https://placeholder.url
144,729,4661.032,4661.032,Exhibitions,46.74,28.86,2024-11-24 22:00:54.180165,,"6.926514, -84.035756",MockSource,Exhibitions,USD,https://placeholder.url
145,946,4639.472000000001,4639.472000000001,Pets,2.18,18.75,2024-11-23 12:30:54.184153,,"43.534316, -18.973007",MockSource,Pets,USD,https://placeholder.url
146,733,4634.312000000001,4634.312000000001,Nightlife,67.07,28.78,2024-11-24 22:45:54.180165,,"-44.639301, -38.264745",MockSource,Nightlife,USD,https://placeholder.url
147,835,4593.336,4593.336,Charity,38.36,18.1,2024-11-29 13:45:54.182140,,"-61.417679, 98.212055",MockSource,Charity,USD,https://placeholder.url
148,27,4589.368,4589.368,Charity,27.35,29.6,2024-11-23 22:00:54.168103,,"85.828591, 24.357037",MockSource,Charity,USD,https://placeholder.url
149,941,4523.056,4523.056,Film,15.92,22.26,2024-11-23 15:15:54.184153,,"-86.317244, 9.466837",MockSource,Film,USD,https://placeholder.url
150,120,4504.664,4504.664,Pets,47.9,19.43,2024-11-27 17:00:54.169103,,"16.653196, 87.330878",MockSource,Pets,USD,https://placeholder.url
151,262,4462.93110966984,4462.93110966984,Wellness,11.72,4.9,2024-12-01 13:45:54.171103,,"-86.311853, -158.943515",MockSource,Wellness,USD,https://placeholder.url
152,682,4428.5915353732635,4428.5915353732635,Family,45.84,2.2,2024-12-03 19:15:54.179186,,"-51.45472, 11.199206",MockSource,Family,USD,https://placeholder.url
153,764,4407.748799999999,4407.748799999999,Festivals,171.29,18.41,2024-11-24 12:30:54.180165,,"-17.748754, -119.045832",MockSource,Festivals,USD,https://placeholder.url
154,948,4401.336,4401.336,Gaming,35.13,20.98,2024-11-28 19:30:54.184153,,"-34.420752, 112.344291",MockSource,Gaming,USD,https://placeholder.url
155,39,4379.9792089665825,4379.9792089665825,Charity,38.35,12.25,2024-12-03 12:00:54.168103,,"57.911136, 136.005265",MockSource,Charity,USD,https://placeholder.url
156,834,4368.032,4368.032,Conferences,101.59,29.36,2024-11-22 22:30:54.182140,,"-69.982632, 101.090383",MockSource,Conferences,USD,https://placeholder.url
157,469,4349.7973203267,4349.7973203267,Exhibitions,51.14,7.95,2024-12-03 19:00:54.175103,,"-70.252003, -175.864953",MockSource,Exhibitions,USD,https://placeholder.url
158,930,4342.96,4342.96,Gaming,42.19,21.97,2024-11-26 08:15:54.183144,,"-6.691913, -126.060315",MockSource,Gaming,USD,https://placeholder.url
159,482,4341.302731120814,4341.302731120814,Nightlife,96.31,9.05,2024-12-03 18:30:54.175103,,"76.256891, 161.56711",MockSource,Nightlife,USD,https://placeholder.url
160,883,4337.17841434744,4337.17841434744,Outdoors,10.53,9.92,2024-12-01 18:00:54.183144,,"34.06102, -12.401394",MockSource,Outdoors,USD,https://placeholder.url
161,838,4336.810197046446,4336.810197046446,Nightlife,53.6,10.32,2024-12-03 17:30:54.182140,,"-41.528508, 176.784027",MockSource,Nightlife,USD,https://placeholder.url
162,848,4328.398539515361,4328.398539515361,Theater,129.26,8.86,2024-12-01 20:15:54.182140,,"62.792914, 13.722292",MockSource,Theater,USD,https://placeholder.url
163,148,4312.202329399953,4312.202329399953,Pets,8.65,17.62,2024-11-30 20:00:54.170103,,"69.382091, 112.553246",MockSource,Pets,USD,https://placeholder.url
164,884,4299.2,4299.2,Science,84.61,23.79,2024-11-25 21:15:54.183144,,"-85.693523, 79.597238",MockSource,Science,USD,https://placeholder.url
165,265,4295.722942134655,4295.722942134655,Workshops,37.88,8.41,2024-12-03 22:45:54.171103,,"-61.338761, 147.242175",MockSource,Workshops,USD,https://placeholder.url
166,922,4280.612,4280.612,Conferences,173.28,1.51,2024-11-23 23:00:54.183144,,"22.070961, 84.379684",MockSource,Conferences,USD,https://placeholder.url
167,42,4261.2080000000005,4261.2080000000005,Charity,0.55,29.53,2024-11-24 15:45:54.168103,,"60.065465, -176.856944",MockSource,Charity,USD,https://placeholder.url
168,340,4260.0,4260.0,Workshops,26.3,18.6,2024-11-28 16:15:54.173103,,"-31.93479, 94.66909",MockSource,Workshops,USD,https://placeholder.url
169,243,4259.46051239205,4259.46051239205,Music,123.08,15.15,2024-12-01 17:00:54.171103,,"43.721658, 117.084005",MockSource,Music,USD,https://placeholder.url
170,96,4246.48,4246.48,Conferences,438.0,6.92,2024-11-24 12:15:54.169103,,"-28.573863, -21.821881",MockSource,Conferences,USD,https://placeholder.url
171,391,4226.296,4226.296,Film,6.72,26.87,2024-11-23 15:30:54.173103,,"36.558363, 31.935529",MockSource,Film,USD,https://placeholder.url
172,671,4218.344,4218.344,Sports,129.82,26.18,2024-11-24 22:30:54.179186,,"-2.221233, -149.363608",MockSource,Sports,USD,https://placeholder.url
173,232,4200.0,4200.0,Festivals,125.62,59.82,2024-11-27 15:30:54.171103,,"-27.514221, 95.207495",MockSource,Festivals,USD,https://placeholder.url
175,447,4200.0,4200.0,Festivals,123.36,61.58,2024-11-28 12:00:54.174103,,"-36.735191, 80.695583",MockSource,Festivals,USD,https://placeholder.url
174,727,4200.0,4200.0,Festivals,121.53,39.96,2024-11-26 23:00:54.180165,,"16.138795, 78.439415",MockSource,Festivals,USD,https://placeholder.url
